"Index","Probe_Id","Symbol"
"376","ILMN_1683909","TRPC7"
"377","ILMN_1717013","LOC647910"
"378","ILMN_1900224",""
"379","ILMN_1729874","OR7C1"
"380","ILMN_1752320","LOC644836"
"381","ILMN_1769116","LCN12"
"382","ILMN_1740586","PLA2G2A"
"383","ILMN_1742197","PIKFYVE"
"384","ILMN_1859750",""
"385","ILMN_2113049","QPCT"
"386","ILMN_1741727","QPCT"
"387","ILMN_1670177","LOC647190"
"388","ILMN_2045800","C11orf65"
"389","ILMN_1883146",""
"390","ILMN_1897989",""
"391","ILMN_1881003",""
"392","ILMN_1664724","LOC652200"
"393","ILMN_1686283","CECR1"
"394","ILMN_1673104","LOC644571"
"395","ILMN_1784040","NAPSA"
"396","ILMN_1908253",""
"397","ILMN_1681057","C7orf20"
"398","ILMN_1704353","IGSF3"
"399","ILMN_1716555","MGC42630"
"400","ILMN_1823304",""
"401","ILMN_1758928","IQSEC3"
"402","ILMN_1876466",""
"403","ILMN_1860151",""
"404","ILMN_2262930","MAPK8IP2"
"405","ILMN_2351262","MAPK8IP2"
"406","ILMN_1785324","MTHFD1"
"407","ILMN_1776850","ITGB1BP3"
"408","ILMN_1656812","ITGB1BP3"
"409","ILMN_1654185","LOC391347"
"410","ILMN_1856691",""
"411","ILMN_1747655","CCDC74B"
"412","ILMN_1669663","BCR"
"413","ILMN_1884638",""
"414","ILMN_1884969",""
"415","ILMN_1788415","C8orf54"
"416","ILMN_1906555",""
"417","ILMN_1833359",""
"418","ILMN_1849882",""
"419","ILMN_1774071","CD177"
"420","ILMN_2195892","SPATA4"
"421","ILMN_1817255",""
"422","ILMN_1823752",""
"423","ILMN_1782247","KAT2A"
"424","ILMN_1690583","LOC728608"
"425","ILMN_1898312",""
"426","ILMN_1736872","LOC650107"
"427","ILMN_1835812",""
"428","ILMN_1791645","SSX4"
"429","ILMN_1846278",""
"430","ILMN_1718832","SPHAR"
"431","ILMN_2068202","MEF2B"
"432","ILMN_1651470","MMP17"
"433","ILMN_1886727",""
"434","ILMN_1820879",""
"435","ILMN_1906647",""
"436","ILMN_1728799","FBP1"
"437","ILMN_1910307",""
"438","ILMN_1861982",""
"439","ILMN_1656074","LOC653145"
"440","ILMN_1779144","CLEC2A"
"441","ILMN_1832720",""
"442","ILMN_1664601","LOC648763"
"443","ILMN_1689518","PECAM1"
"444","ILMN_1884068",""
"445","ILMN_1661344","LOC647839"
"446","ILMN_1729212","GRM8"
"447","ILMN_1751069","C9orf11"
"448","ILMN_1772369","PDHA1"
"449","ILMN_1778756","SULT1A1"
"450","ILMN_1656900","SULT1A1"
"451","ILMN_1657302","SULT1A1"
"452","ILMN_1816550",""
"453","ILMN_1656257","LOC732275"
"454","ILMN_1760033","LOC643203"
"455","ILMN_1822443",""
"456","ILMN_2388155","CASP3"
"457","ILMN_2215355","LOC400499"
"458","ILMN_1728338","LOC400499"
"459","ILMN_1789871","LOC197350"
"460","ILMN_1804150","HIBADH"
"461","ILMN_1827993",""
"462","ILMN_1772712","UBE2J2"
"463","ILMN_1673158","LOC200261"
"464","ILMN_2151281","GABARAPL1"
"465","ILMN_1722178","LOC727849"
"466","ILMN_1806103","LOC727849"
"467","ILMN_1727001","DDX46"
"468","ILMN_1657750","CNNM1"
"469","ILMN_1866433",""
"470","ILMN_1674243","TFRC"
"471","ILMN_1752117","TMEM55A"
"472","ILMN_1734968","LOC649248"
"473","ILMN_1730504","AGPAT4"
"474","ILMN_2409720","SLA2"
"475","ILMN_1813836","DARS"
"476","ILMN_1677955","ENTPD6"
"477","ILMN_2091792","ENTPD6"
"478","ILMN_2206009","FCAMR"
"479","ILMN_2359907","CD68"
"480","ILMN_2267914","CD68"
"481","ILMN_1742889","WDR77"
"482","ILMN_1913769",""
"483","ILMN_1869277",""
"484","ILMN_1673757","CASP8"
"485","ILMN_1768933","LOC650678"
"486","ILMN_2404589","KCNRG"
"487","ILMN_1883107",""
"488","ILMN_1915039",""
"489","ILMN_1890854",""
"490","ILMN_1772123","ACACA"
"491","ILMN_1667641","ACACA"
"492","ILMN_1781076","ZNF705D"
"493","ILMN_1653562","ZNF705D"
"494","ILMN_1742280","ZNF705D"
"495","ILMN_1694220","LOC339782"
"496","ILMN_1713141","LOC389641"
"497","ILMN_1765641","SEMA3A"
"498","ILMN_1669167","LOC650323"
"499","ILMN_1700627","LOC653800"
"500","ILMN_1876534",""
"501","ILMN_1706839","TCERG1"
"502","ILMN_2289301","TCERG1"
"503","ILMN_2398039","TCERG1"
"504","ILMN_1884246",""
"505","ILMN_2156250","SOCS3"
"506","ILMN_1706553","SMG7"
"507","ILMN_1690469","SMG7"
"508","ILMN_1846799",""
"509","ILMN_1872500",""
"510","ILMN_1685952","ACSM3"
"511","ILMN_1771084","ACSM3"
"512","ILMN_1783448","DYNC1LI2"
"513","ILMN_1893053",""
"514","ILMN_1915653",""
"515","ILMN_1746659","LOC653050"
"516","ILMN_1776480","HINFP"
"517","ILMN_1727101","LUZP2"
"518","ILMN_1811346","LOC648615"
"519","ILMN_1834635",""
"520","ILMN_1869853",""
"521","ILMN_1884661",""
"522","ILMN_1669227","ADRA1A"
"523","ILMN_1715416","NUP188"
"524","ILMN_1846825",""
"525","ILMN_1726002","LOC650528"
"526","ILMN_1794597","ZNF167"
"527","ILMN_1733366","MAST1"
"528","ILMN_1875766",""
"529","ILMN_1704858","LOC645535"
"530","ILMN_1733851","DACT3"
"531","ILMN_2372011","SCAND1"
"532","ILMN_1657274","LOC729744"
"533","ILMN_1795744","LOC729744"
"534","ILMN_1663065","LOC729744"
"535","ILMN_1698552","LOC646764"
"536","ILMN_1855167",""
"537","ILMN_1834781",""
"538","ILMN_1862612",""
"539","ILMN_1737247","LOC139116"
"540","ILMN_1812256","GANC"
"541","ILMN_1667125","RPS6KL1"
"542","ILMN_1889155",""
"543","ILMN_1906347",""
"544","ILMN_1697527","LOC729444"
"545","ILMN_1651351","LOC729444"
"546","ILMN_1663245","LOC729444"
"547","ILMN_1757129","TMEM88"
"548","ILMN_1888740",""
"549","ILMN_1684377","LOC649030"
"550","ILMN_1856976",""
"551","ILMN_1666087","LOC651131"
"552","ILMN_1686906","TP53INP2"
"553","ILMN_1820432",""
"554","ILMN_1809676","CACNG6"
"555","ILMN_1687202","LOC643012"
"556","ILMN_1807972","MICAL1"
"557","ILMN_1865059",""
